branch,type,title,doi,year,url
por_asignar,misc,TCDS 31 ATLAS PREDICCION,10.5281/ZENODO.17560070,2025,https://zenodo.org/doi/10.5281/zenodo.17560070
por_asignar,misc,TCDS 3I ATLAS VALIDACION 2025,10.5281/ZENODO.17555759,2025,https://zenodo.org/doi/10.5281/zenodo.17555759
por_asignar,misc,TCDS \textemdash M{\'e}tricas y Protocolos Can{\'o}nicos,10.5281/ZENODO.17458809,,http://doi.org/10.5281/zenodo.17458809
por_asignar,misc,TCDS — Sistema Predictivo Sísmico Σ-Predictivo: Validación Empírica del Campo de Coherencia en la Tierra,10.5281/ZENODO.17507622,2025,https://zenodo.org/doi/10.5281/zenodo.17507622
por_asignar,misc,TCDS-LICENCIAS: Licencias del Proyecto TCDS,10.5281/ZENODO.17498200,2025,https://zenodo.org/doi/10.5281/zenodo.17498200
por_asignar,article,"TCDS-Σ Business Plan & Dossier (Dual License, GA4, Web Vitals)",10.5281/ZENODO.17494368,2025,https://zenodo.org/doi/10.5281/zenodo.17494368
por_asignar,article,"TCDS-Σ Business Plan & Dossier (Dual License, GA4, Web Vitals)",10.5281/ZENODO.17494318,2025,https://zenodo.org/doi/10.5281/zenodo.17494318
por_asignar,misc,TCDS_GOOGLE_SMETRICS,10.5281/ZENODO.17470632,2025,https://zenodo.org/doi/10.5281/zenodo.17470632
por_asignar,misc,TCDS_Gradiente_Economico,10.5281/ZENODO.17491112,2025,https://zenodo.org/doi/10.5281/zenodo.17491112
por_asignar,misc,Teoría TCDS,10.5281/ZENODO.17505875,2025,https://zenodo.org/doi/10.5281/zenodo.17505875
por_asignar,misc,geozunac3536-jpg/3I_ATLAS_TCDS_arXiv_ready: Predicción Post Perihelio 3I ATLAS,10.5281/ZENODO.17560150,2025,https://zenodo.org/doi/10.5281/zenodo.17560150
por_asignar,misc,geozunac3536-jpg/LBCU: TCDS v1.0.0: Teoría Operacional y Compendio Inicial,10.5281/ZENODO.17462568,2025,https://zenodo.org/doi/10.5281/zenodo.17462568
por_asignar,misc,geozunac3536-jpg/Proyecto_TCDS: 🧭 TCDS — Núcleo Teórico y Auditoría Trazable (v1.0.0),10.5281/ZENODO.17504507,2025,https://zenodo.org/doi/10.5281/zenodo.17504507
por_asignar,misc,geozunac3536-jpg/TCDS-NODO: Paradigma falsable de coherencia universal derivado del marco TCDS,10.5281/ZENODO.17463045,2025,https://zenodo.org/doi/10.5281/zenodo.17463045
por_asignar,misc,geozunac3536-jpg/TCDS-Portal-de-Documentos: Portal de Documentos e investigaciones TCDS,10.5281/ZENODO.17450327,2025,https://zenodo.org/doi/10.5281/zenodo.17450327
por_asignar,misc,geozunac3536-jpg/TCDS-SISTEMA-PREDICTIVO: Cromodinámicasincrónica,10.5281/ZENODO.17452046,2025,https://zenodo.org/doi/10.5281/zenodo.17452046
por_asignar,misc,geozunac3536-jpg/TCDS-SISTEMA-PREDICTIVO: TCDS v1.0.0: Teoría Operacional y Compendio Inicial,10.5281/ZENODO.17463490,2025,https://zenodo.org/doi/10.5281/zenodo.17463490
por_asignar,misc,geozunac3536-jpg/TCDS-Teoria-Operacional: TCDS v1.0.0: Teoría Operacional y Compendio Inicial,10.5281/ZENODO.17460101,2025,https://zenodo.org/doi/10.5281/zenodo.17460101
por_asignar,misc,geozunac3536-jpg/TCDS-Teoria-Operacional: TCDS v1.0.0: Teoría Operacional y Compendio Inicial,10.5281/ZENODO.17460891,2025,https://zenodo.org/doi/10.5281/zenodo.17460891
por_asignar,misc,geozunac3536-jpg/TCDS-UNIFICADO: Cromodinámicasincrónica,10.5281/ZENODO.17450317,2025,https://zenodo.org/doi/10.5281/zenodo.17450317
por_asignar,misc,geozunac3536-jpg/TCDS-UNIFICADO: TCDS v1.0.0: Teoría Operacional y Compendio Inicial,10.5281/ZENODO.17462595,2025,https://zenodo.org/doi/10.5281/zenodo.17462595
